comment_id,author,text,like_count,published_at,updated_at
Ugy6CaaSIGHT_snz6i94AaABAg,@rupurahima7231,"The rap, dance, make-up, outfit everything is just perfect",20532,2025-03-12T15:12:01Z,2025-03-12T15:12:01Z
UgzH9p4EP25pq4EgjOl4AaABAg,@kateandreadelapuerta2377,"She is hated,she is loved,she is criticized,she is praised but never not talked about, It will always be JENNIE KIM",11757,2025-03-13T02:05:39Z,2025-03-13T02:05:39Z
UgylJ4hOw0_oTpfx8D54AaABAg,@allernow,"<b>One thing I’ve seen about Jennie is that the moment she’s on stage, she just owns it, it’s her.</b>",10426,2025-03-12T15:26:07Z,2025-03-12T15:26:07Z
UgzXNkHOCgC5KzFm0jR4AaABAg,@Yt-gaming2312,"She is loved,she is criticized, she is praised Jennie is the k-pop villian <br><b>*Nobody is like Jennie kim*</b> <br>Her aura♾️♾️♾️♾️",6,2025-05-25T18:08:04Z,2025-05-25T18:08:04Z
Ugx6sR3eP7afXj3yJe54AaABAg,@Ct239Dzafirah,"whoever choreographed this, i want to thank you from the bottom of my heart. all the dancers really look effing cool!",3225,2025-03-22T12:21:48Z,2025-03-22T12:21:48Z
UgwhOT7WqOxYRh8N7Gl4AaABAg,@BLINK_Rose-0211-챙이,"진짜 이번 홀로서기 활동으로 인해 제니 정말 많이 성장한것같다ㅜㅜ 이젠 진짜 김제니가 하나의 장르라고 말해도 될정도.. <br>이런거 김제니 아니면 누가해,, (그리고 라이브 다 들리는거 장난아니네 역시 김제니)",4191,2025-03-12T15:05:40Z,2025-03-12T15:05:40Z
UgzL7l93wqRC5Prui7V4AaABAg,@btsarmyyy_02,I&#39;m sooo obsessed with this song 🤌🏻🤌🏻🔥🔥,6,2025-05-24T16:46:27Z,2025-05-24T16:46:27Z
UgzIZbmYcBa2tFdQiLd4AaABAg,@JulieLope,The Coachella is going to be incredible. Jennie&#39;s songs are not skippable. Their song is flawless. She does not follow trends; she creates them.,2872,2025-03-13T17:18:24Z,2025-03-13T17:18:39Z
UgxLeBVpVnMoBTcxO-R4AaABAg,@seasonhype,Jennie&#39;s performance is stuck in my mind it&#39;s like her music takes over every thought. The rap part  the dance moves it&#39;s all on repeat in my head the energy omgg....,547,2025-03-12T16:11:09Z,2025-03-12T16:11:09Z
UgxYfMhNKJcnFSQWZhV4AaABAg,@KRu-k2o,"“It’s fucking hard…AI couldn’t copy” so true! I’m obsessed with the choreography, outfit, facial expressions, rapping…..is Jennie Jennie Jennie",724,2025-03-16T16:57:05Z,2025-03-16T16:57:05Z
Ugz0eksBNT0w0SMsSKJ4AaABAg,@HoneybunnyB,"The rap,the dance,the visuals,the quality,the vocals,everything slays",5,2025-05-17T20:16:40Z,2025-05-17T20:16:40Z
UgzuyzjNuZW6raL9olB4AaABAg,@IStan12Groups,"&#39;Don&#39;t bore us, take us to the chorus&#39;
<br>&#39;Who else got em obsessed like Jennie?&#39;
<br>&#39;Haters they don&#39;t like Jennie cause they can never ever be Jennie&#39;
<br>- Iconic lines of the diva known as Jennie Kim",926,2025-03-12T16:48:16Z,2025-03-12T16:48:16Z
UgzJ-nWD9jkO58u13Fh4AaABAg,@hihorsie0,JENNIE&#39;S STAGE PRESENCE   Is always top notch!!!<br>Can&#39;t stop watching this performance ahhh Jennie you are such a Queen!!,352,2025-03-12T15:05:48Z,2025-03-12T15:05:48Z
UgytuqJKWiKD2VORHRV4AaABAg,@JennyRyerson,"I ❤ this song!!! I can&#39;t stop listen to it! When ever Jennie is on stage, it&#39;s like everyone freezes. She is just so savage and cool! Love Jennie!❤❤❤",12,2025-05-20T10:07:11Z,2025-05-20T10:07:11Z
UgxofSJDfoPAXPvs5Nh4AaABAg,@Zennie_Loveday,"Her Ruby Album deserves all the recognition. To OA, to Columbia Records, and everyone who&#39;s part of the RUBY ALBUM making deserves a big warm of applause.",1371,2025-03-12T15:23:51Z,2025-03-12T15:23:51Z
UgzFbtgxIjBvrZO1aKB4AaABAg,@KpoppersEveryday,imagine having a comeback so strong that you shut your haters&#39; mouth with just a song and then there are 14 other songs on the album. that&#39;s what JENNIE KIM did!,1162,2025-03-12T15:05:09Z,2025-03-12T15:05:09Z
UgwXC9yAldWWVpMRq9Z4AaABAg,@김고은-c6n,무대와 눈빛에 압도당하는 기분이에요. 앨범에서 한국어 가사가 들어간 유일한 노래라 너무 소중해요 ㅜㅜ 인터뷰에서 제니뿐만을 위했다기보단 누구든 이름을 넣어서 불렀으면 좋겠다고 하신 걸 봤는데 다른 분들도 자신감을 갖길 바라는 의미인거 같아서 좋았어요.,345,2025-03-17T16:30:23Z,2025-03-17T16:30:23Z
UgyxhaI4AtOh-gNAr5N4AaABAg,@amulyasubalam209,"Just imagine.  What would be the reaction of jennie&#39;s mom seeing her daughter have such a successful solo career.. specifically looking at &#39;like jennie&#39;, i am visualizing her mom being in awe just as we fans are!",1,2025-05-25T20:21:41Z,2025-05-25T20:22:20Z
UgzyUNgXIJ9G_LJGkE94AaABAg,@Izzyboo84,"she’s a freaking powerhouse, she looks so delicate yet so powerful all at the same time",169,2025-04-06T18:34:14Z,2025-04-06T18:34:14Z
Ugwn_r7d8rjtuDDs4id4AaABAg,@zaydenrlopez6215,The best choreography i&#39;ve ever seen in my whole life!,432,2025-03-19T18:14:40Z,2025-03-19T18:14:40Z
UgyLE6XiemG4xfCu2td4AaABAg,@Aykzko,She’s mastered the art of performing so no one actually can do it LIKE JENNIE,139,2025-03-12T16:43:21Z,2025-03-12T16:43:21Z
UgyvIjDMpIYKWNg7F994AaABAg,@HeyMisteryyy,"My God, Jennie was amazing, I loved the song ❤️",1,2025-05-26T00:52:39Z,2025-05-26T00:52:54Z
UgyiNEKaAduserGLzq54AaABAg,@JulieLope,"Jennie won the entire package, including rap, dance, vocal, visual, expression, swag, savage, hot, cool, style, fashion, and performance.  She is the entire group herself.",292,2025-03-13T17:40:54Z,2025-03-13T17:40:54Z
UgztdIVhsmCnLzuqbZR4AaABAg,@allernow,The official anthem of The IT GIRL and VILLAIN of kpop. 🔥‼️,433,2025-03-12T15:25:13Z,2025-03-12T15:25:13Z
UgwiEuMNjX1PDVnyicp4AaABAg,@Abcdef427,"Jennie won the whole package ; rap, dance, vocal, visual, expression, swag, savage, hot, Cool, style, fashion and performance. She is the whole group herself.",63,2025-03-13T15:40:20Z,2025-03-13T15:40:47Z
UgzHTwtUnDu-Jzl5hJN4AaABAg,@Jessica-h1r6w,"her bodyy, attitude, voice, angel ❤️❤️❤️",2,2025-05-26T01:42:34Z,2025-05-26T01:42:34Z
UgwSfSWJoNTrDYklxa54AaABAg,@IStan12Groups,"Jennie is casually slapping back at haters with one of the best albums of this year, and I&#39;m here for it.",553,2025-03-12T16:50:33Z,2025-03-12T16:50:33Z
UgxA8VWgG0eVeWFjvbp4AaABAg,@angitasaha6424,"The song, the dance, the voice,the outfit, the Aura, the attitude everything is next level ( villain of kapop for a reason) &quot;MISS JENNIE KIM&quot;",45,2025-03-12T15:26:01Z,2025-03-12T15:27:05Z
UgwxJGgno1Nmm0y_vUB4AaABAg,@loveskzsvt,our girl is serving masterpiece again ! the stage presence is so coolll,894,2025-03-12T15:14:29Z,2025-03-12T15:14:29Z
UgyEio1FsMMRS1krGU94AaABAg,@iroşummmm,The rap dance makeup outfit everything is just perfect ❤,2,2025-05-18T06:52:56Z,2025-05-18T06:52:56Z
Ugz6V6Ed0ozkcHS-Vyp4AaABAg,@الفتاة_المفجوعة_من_الدراسة,the rap?? the dance?? the outfit?? the visual?? omgg shes ate🔥🔥💯!!,773,2025-03-12T15:03:32Z,2025-03-12T15:03:32Z
UgzqPa9473XpGXIW9214AaABAg,@11_star_armlink,She literally SLAYED in everytime. Her rap is so satisfying. Her dancing moves is so perfect.,505,2025-03-12T15:46:08Z,2025-03-12T15:46:08Z
UgwzW4yKQnpR70aziZh4AaABAg,@nini_star784,When Jennie said-<br>&#39;Don&#39;t bore us take to the chorus&quot;<br>It’s just satisfying!!,176,2025-03-12T15:33:21Z,2025-03-12T15:33:21Z
Ugz9Bud26mjj2zb60tt4AaABAg,@leid.8069,"Not a blink but jenny is really the ace,she can sing,dance and rap. No wonder why her solos are always trending.",376,2025-03-31T13:51:33Z,2025-03-31T13:51:33Z
UgxTHSqLGtueWsYf44t4AaABAg,@linsey_fortnite,"제니 계속해, 넌 최고의 DNA야 제니 계속해",4,2025-05-23T18:41:49Z,2025-05-23T18:41:49Z
UgyWemnMFQVNqfXVf3t4AaABAg,@nananinhasilv,the charisma and stage presence she demonstrates is so FUCKING AMAZING,124,2025-03-13T02:30:48Z,2025-03-13T02:30:48Z
Ugwko-S3YEfHywq0Zqh4AaABAg,@Impactfuluniverse,"The visuals, performance, expressions,EVERYTHING! Ate",74,2025-03-12T15:24:29Z,2025-03-12T15:24:29Z
Ugye4hn4Re3qhqif8-F4AaABAg,@Cringeycup,"Brooo, women literally made people to sing her name <br>Her Aura ♾️♾️♾️",187,2025-03-19T15:57:44Z,2025-03-19T15:57:44Z
UgynddfJBJ8H6XP5Ne94AaABAg,@MayaDehilis,"You’re just perfect i love u moré jennieeeee !!!!!!!!<br>And the rap, the dance, it’s just purfect i love it ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",5,2025-05-24T20:54:06Z,2025-05-24T20:54:06Z
UgzaCEanqy2eYEsSFPp4AaABAg,@honluynoon,"This performance has me in a chokehold wtf. Her rap is so satisfying. The light, the outfit, the dance, wow this is the best performance i&#39;ve ever seen!",196,2025-03-12T16:05:57Z,2025-03-12T16:05:57Z
Ugxf552jDpLUldX4pp54AaABAg,@eyvahmisa,The Queen of Kpop 🔥,725,2025-03-12T15:04:30Z,2025-03-12T15:04:30Z
Ugy5c3RgJqSj6E7PZll4AaABAg,@RubyUtKieu,"Jenchella is going to be lit! RUBY album are not skippable, each has it own meaning. It&#39;s flawless.  We gonna rock with this JENNIE!",60,2025-03-17T15:36:07Z,2025-03-17T15:36:07Z
UgwRUqnziKtgnRlkYLt4AaABAg,@Sheki2012,one of the best songs in kpop history blackpink is best,2,2025-05-26T01:02:33Z,2025-05-26T01:02:33Z
UgwUhqVgLpWXQsYBYN54AaABAg,@Dreamy0423,"하루에도 몇번씩 생각나서 무대 보는데 뭔가 딱 하나 타임라인 찍어서 좋다고 할 수 가 없음 모든 순간이 다 좋아서,,, 제니한테 영원히 감겨.",1227,2025-03-13T02:35:36Z,2025-03-13T02:35:36Z
UgyOrCZ3GAvUaqnscpx4AaABAg,@croserroblox6981,"The Coachella is going to be fire. Jennie songs are no skip. Their song are flawless.  She doesn&#39;t follow trends, she makes them.",309,2025-03-13T11:47:22Z,2025-03-13T11:47:22Z
Ugwo6B5iQ0i7r3323bx4AaABAg,@lll7yu,赤ジェニ様は最高すぎるっ！！！,175,2025-03-12T15:12:50Z,2025-03-12T15:12:50Z
Ugwe8BzI9EyVUTFFRpd4AaABAg,@nomadvlogs3996,Oh my God you killed it you slayed oh my God girl ate and left no crumbs 😭😭😭,1,2025-05-23T21:33:47Z,2025-05-23T21:33:47Z
UgwPEbl_iKgF1G7DKK54AaABAg,@anubhutisharma5185,"One of the most iconic and best songs of her...Her rap, style, dance is perfect!",136,2025-03-29T08:39:42Z,2025-03-29T08:39:42Z
UgwUxvAND1d0gDFLLZZ4AaABAg,@maihowrairongmei5091,"&quot;Keep your hair done, nails done like Jennie&quot; Jennie slays everything🙌🏻💅🏻",346,2025-04-10T08:07:04Z,2025-04-10T08:30:41Z
UgwzbT0kLqY1plXYL4t4AaABAg,@lilymedding9413,Her expressions my god,65,2025-03-13T11:05:43Z,2025-03-13T11:05:43Z
Ugx4jwKbnnlH2lAnMHZ4AaABAg,@小鴨-h9s,Jennie dancing very good look,4,2025-05-25T03:46:26Z,2025-05-25T03:46:26Z
UgyThQY6OLQ3LP6ovOp4AaABAg,@SanjayKrishnan-p3u,&quot;Yes haters hate Jennie because they can never ever be Jennie&quot; It&#39;s true Jennie you are outstanding and you was Queen,294,2025-03-15T16:57:38Z,2025-03-15T16:57:38Z
UgxMStplo3RWYauI9mp4AaABAg,@Krissy_yy,I keep saying this is giving amapiano and I love itttttt especially the dance movesssss,119,2025-03-12T15:25:35Z,2025-03-12T15:25:35Z
UgyCToZYDk9qAaC9JYR4AaABAg,@ItsJennix,"The Coachella is going to be fire. Jennie songs are no skip. Their song are flawless.  She doesn&#39;t follow trends, she makes them.",241,2025-03-12T15:10:41Z,2025-03-12T15:10:41Z
UgwHraX6B2Y6YfvQyD14AaABAg,@zepa-x9j,like Jennie❤,4,2025-05-20T02:58:56Z,2025-05-20T02:58:56Z
UgwVOMS52HQffHyTKd94AaABAg,@thihuongngo2753,"She shows that her voice is not joke. Her vocal control when performing is amazing. Flashing lights, cool outfits, skilled dancers, grand stage, wow the best performance I&#39;ve ever seen. And her rap, so satisfying!",40,2025-03-12T15:29:37Z,2025-03-12T15:29:37Z
Ugxo_qdW0pUjmNvv4e54AaABAg,@장준호-f3p,찢었다 제니야 개멋있다,2111,2025-03-12T15:06:17Z,2025-03-12T15:06:17Z
UgzHvN5EVoWqm83LbVl4AaABAg,@soft_lilieee1,OMG her rap dance is just fireeeeee✨️😍 <br>Jennie=AURA,59,2025-03-12T15:08:40Z,2025-03-12T15:10:23Z
UgyEO6CCA4XuNtP2MXN4AaABAg,@A-S-S-I-Y-A,"How beautiful all of Jenny&#39;s dances are. I love them very much. I tell you to continue, my heroine.❤",1,2025-05-23T20:14:58Z,2025-05-23T20:14:58Z
Ugws0d20dNz1HDpJhld4AaABAg,@kamwadathrangrabon4529,Yes Queen Jennie keep feeding us with more live performance,42,2025-03-12T15:51:30Z,2025-03-12T15:51:30Z
UgzUbO2mUBQ71DMmB0t4AaABAg,@Ruby-f8m,Watched this more than 2times 🔥🔥,135,2025-03-12T15:24:56Z,2025-03-12T15:24:56Z
Ugw1aX6TIg_E3vg44eR4AaABAg,@kru44,"&quot;Don&#39;t bore us, take you to the chorus&quot; SLAYED!",114,2025-03-23T16:45:06Z,2025-03-23T16:45:06Z
UgzYvau0sgdlE5-8FkZ4AaABAg,@NusratNoorMim,My favourite song like jennie....!!🤗🌸,11,2025-05-19T10:50:59Z,2025-05-19T10:50:59Z
Ugx-2UYL2lJp3Z71OmV4AaABAg,@randomsophia_xxx8097,"Jennie is a stage monster! Her attitude,, dance, facial expressions and confidence is electrifying! I‘m sure she’ll shake the whole Coachella in a few weeks!🔥💯",75,2025-03-13T16:44:42Z,2025-03-13T16:44:42Z
