comment_id,author,text,like_count,published_at,updated_at
Ugz6wQPdk8mpNdQc0wF4AaABAg,@YouTube,everyone wants aura like jennie 💗,16872,2025-04-18T14:36:30Z,2025-04-18T14:36:30Z
Ugx5US91XF0Z8TzaWv94AaABAg,@lenamora3473,“Coachella I know you’ve been waiting for this one” GIRL ALL THE WORLD WERE WAITING FOR,11534,2025-04-17T10:32:55Z,2025-04-18T14:04:36Z
UgzY6hdF-iZFlbIQTFp4AaABAg,@AbegailAnn,I was there and all I can is she really has stage factor and knows how to hype the crowd. She is so talented!,7520,2025-04-17T04:20:26Z,2025-04-17T04:20:26Z
UgzJWJlOqePm83yDBlV4AaABAg,@kimjohn7548,이번 제니앨범이 진짜 한국 걸그룹계의 레전드가될듯,298,2025-05-07T14:50:50Z,2025-05-07T14:50:50Z
Ugxs-mc54kKASAsAZS14AaABAg,@bibekachettri3875,After being the most hated idol of all time...she made  a whole song about it and herself that no one can be her <br>And that song was so goated that now she became the most loved idol...<br>Everyone it&#39;s Jennie Kim here!,3798,2025-04-17T01:29:50Z,2025-04-17T01:29:50Z
UgzBSsz4RT8iv4xXV9N4AaABAg,@rosymess,I love how there was absolutely no emptiness throughout Jennie&#39;s entire performance. also her aura is undeniable.,3122,2025-04-16T23:53:31Z,2025-04-16T23:53:31Z
Ugx2aAaaEbapzR3Rj3V4AaABAg,@eileenz.7960,"She basically had 1 outfit only, it’s ALL HER, effortless charisma, simply and so powerful!!! No one else has what she has.",1412,2025-04-17T08:00:03Z,2025-04-17T08:00:03Z
Ugyj4_9yaZ8lpw_D3dF4AaABAg,@유리-q6d,I understood why she is famous. She    knew how enjoy the stage. I can see her enjoying herself with her fans.,169,2025-05-15T05:03:39Z,2025-05-15T05:03:39Z
UgwDEgUDtJY2yNOC7554AaABAg,@asha6683,I became a fan immediately after witnessing this performance two days ago.<br>I see why she is so famous,6402,2025-04-16T21:14:40Z,2025-04-16T21:35:01Z
Ugy2c6S_kUtQQsAxAud4AaABAg,@ZhadyraSmagulova-q1o,"I&#39;m not even kpop fan, but OMG! This girl is the best!",1060,2025-04-17T05:45:01Z,2025-04-17T05:45:01Z
Ugw5uD4CLtuLv9b7oYx4AaABAg,@EmilySwiftie-u4b,HER HAIR IS HAIRING IN THE MOST ICONIC WAY,3248,2025-04-17T02:48:17Z,2025-04-17T02:48:17Z
UgzuIjqvv_PqmlzNQxB4AaABAg,@엘사-o2s,"너무나 멋지다!!! 제니가 무엇을 추구하고, 어떤 방향성을 향했는지를 단번에 느낄 수 있는 멋진 성장의 놀라운 공연이다. 압도적 멋이 있다!!!",92,2025-05-01T21:21:17Z,2025-05-01T21:21:17Z
UgxDWlD6errBIw6tOTp4AaABAg,@KikiMal-e4g,I&#39;m not into kpop thing but  this girl omggg her aura is insane also I heard her album after Coachella and like wow she is pop girl she is soo talented and I became her fan now,2224,2025-04-17T06:12:40Z,2025-04-17T06:12:40Z
UgwucaW9Fhh3yUt1iBp4AaABAg,@wutang4eva213,제니 다시봄. 이전까지 케이팝이 아무리 인기 많은것 같아보여도 미국 사람들 중 대다수가 케이팝을 비주류로 바라 보았는데… 제니 퍼포먼스 보고 마음 바뀐 사람 많을듯. 이제 그냥 세계적인 팝스타 맞음.,846,2025-04-19T12:01:51Z,2025-04-19T12:01:51Z
UgyOrRRAZ17otDk9nK54AaABAg,@peacock,the aura she holds is insane,2028,2025-04-23T18:19:16Z,2025-04-23T18:19:16Z
Ugxfpzr4eJg_Kuf0JeJ4AaABAg,@AliverT1,Jennie คืออันดับ 1 ของปี 2025 จริงๆในง่นนี้ ดังมาก ปังมาก ยอดวิวถล่มทะลายสุดๆ,26,2025-05-02T08:37:20Z,2025-05-02T08:37:20Z
UgyzqEvySiXspotegS14AaABAg,@camioqu,"I&#39;ve watched Jennie&#39;s Coachella performance way too many times. Her visuals, charisma, and stage presence are just unreal",7556,2025-04-16T21:19:44Z,2025-04-16T21:19:44Z
UgwpjH-00d9OCBtpGj94AaABAg,@FabulousJenJen,"There’s only one JENNIE—no matter how hard K-pop companies try to find ‘little JENNIEs,’ no one can match her natural aura and insane stage charisma. She’s truly one of a kind!",370,2025-04-17T16:50:04Z,2025-04-17T16:50:04Z
UgyhmKKCPHRhDMs7WpF4AaABAg,@sabatajammul4372,the way she moves her hair from her from face is just soo satisfying,296,2025-04-19T16:55:24Z,2025-04-19T16:55:24Z
UgyQ53yME_4sUIj81Ft4AaABAg,@petah2230,10 million!! The most viewed coachella performance 2025🦫♥️,271,2025-05-02T06:11:31Z,2025-05-02T06:11:31Z
UgySehS3VVWqs7cxWaN4AaABAg,@rowelle_,Now they&#39;ve really met Jennie!,1544,2025-04-16T23:45:54Z,2025-04-16T23:45:54Z
UgzGr7XqBAZX87AHCvh4AaABAg,@deecoderrv6587,I never was Jennie’s fan until I heard all here songs starting from mantra up to Handlebars like OmG Jennie!! Never would’ve thought her to respect her musicality so much- it is art. I am stanning her hard now! FYI been BP fan since they debut!,293,2025-04-17T18:32:52Z,2025-04-17T18:32:52Z
UgzJl5RvBFb1q85SfGN4AaABAg,@행복하기-c5n,진짜.....공연내내 의상체인지도 없이 풀라이브라니...정말 ㅠㅠㅠㅠㅠ 너무 대단함 !!!!,28,2025-05-16T13:35:40Z,2025-05-16T13:35:40Z
UgxbWLqxAWkyy2uFSBJ4AaABAg,@Ninitaa3,"Jennie loves her haters so much, she gave them the honor of being her song’s inspiration. Not everyone gets that privilege!",218,2025-04-19T12:57:50Z,2025-04-19T12:57:50Z
UgzrZ5Xz5QH2AIQgyJ94AaABAg,@현-g4g1s,제니 노래 진짜 잘만들었다. 리듬 탈 수도 없고 제니제니 그 부분은 중독성 쩔고 춤도 리드미컬 뽐내는 것이 아닌 개성도 강하고 이건 상상이상인듯,2604,2025-04-17T08:54:22Z,2025-04-17T08:54:22Z
Ugzqq3iiCpm_Er3k7p54AaABAg,@zzxxccvvbbnn,한국역사상 여솔 1등인듯.....,1289,2025-04-23T23:10:51Z,2025-04-23T23:10:51Z
UgwzdQMKM-rfJaTATsx4AaABAg,@dombom9018,coachella jennie deserve main stage for this!!!,24,2025-05-24T15:52:10Z,2025-05-24T15:52:10Z
Ugzy-XdO2PWfGWm06kx4AaABAg,@MirinaSetsui,It’s trending already. Jennie is truly a superstar and an amazing live performer,927,2025-04-17T07:51:26Z,2025-04-17T07:51:26Z
UgxCTDihZ_PYYqpUKf94AaABAg,@arielle5829,That intro is absolutely giving me the chills! She ain’t the global it girl for no reason.,442,2025-04-18T06:50:11Z,2025-04-18T06:50:11Z
UgwoK_E7XW649-HFbLt4AaABAg,@KimJennieMommy,"Her mic on, dancing non stop, shes really put on A SHOW",472,2025-04-17T05:05:50Z,2025-04-17T05:05:50Z
UgyRDhzkCEoFYCAK-EJ4AaABAg,@art_HJ,와우.. 이게 이번 코첼라 영상중에 조회수가 젤 높다아,262,2025-05-02T07:14:49Z,2025-05-02T07:14:49Z
Ugx-VMXKnO-7vdVaNxJ4AaABAg,@kuromijen,jennie has so much charisma and aura. wish i can see her live someday,124,2025-04-17T14:43:58Z,2025-04-17T14:43:58Z
Ugxe7zhdyJDIM2ltzqR4AaABAg,@rowelle_,I watched second week performance and she outdid herself. The ending made me so emotional that i shed a lot of tears. I saw her progress through the years and I cannot be more proud of her.,656,2025-04-21T04:41:05Z,2025-04-21T04:41:05Z
UgySShf1F_g9aCxGSvp4AaABAg,@clariemark150,This vedio of jennie is the most liked and viewed vedio of coachella in 2025… congratulations jennie kim you are a queen of kpop indeed,227,2025-04-19T17:40:06Z,2025-04-19T17:40:17Z
Ugw-5Z6EAHzUBRhJ_y94AaABAg,@Samantha34-ph,JENCHELLA 10 millions in History 🎉,61,2025-05-02T06:56:54Z,2025-05-02T06:56:54Z
UgyKLwmXltIxq5Yn3Gh4AaABAg,@Francesca_567,"Jennie is the queen thats why shes called Global IT girl ,main character, villain in kpop, trendsetter , sold out queen",178,2025-04-17T02:21:36Z,2025-04-17T02:21:36Z
UgyZ0c3jLXXg1OP-qKl4AaABAg,@sapphire2640,"yall dont understand how hard this dance is to make it look sharp, presentable all while singing. i tried it and could barely breathe afterwwards",544,2025-04-18T08:01:06Z,2025-04-18T08:01:06Z
UgyaBAzr7CL9wJaN19d4AaABAg,@m_mw_c,the mic was ON. the crowd was screaming. Jennie’s stage presence was eating. Jenchella was too good ❤,279,2025-04-17T10:48:56Z,2025-04-17T10:48:56Z
UgwVBDQAB7afcFVP7H14AaABAg,@Bibi-sz9xm,The best of Coachella,29,2025-04-30T15:36:35Z,2025-04-30T15:36:35Z
UgznDxq33exE-gwdpe54AaABAg,@VanshikaNaik10,Like Jennie is the most viewed and liked 2025 Coachella live performance. I&#39;m so proud of u Jennie,711,2025-04-20T05:10:00Z,2025-04-21T05:27:52Z
UgzghEdbcDsTMoPmkbt4AaABAg,@Goldameir-i9g,"In just 2 days, she&#39;s the most viewed and liked 2025 coachella live performance on YouTube....so proud of you ❤️",315,2025-04-20T02:57:03Z,2025-04-20T02:57:03Z
UgyhkNScy6Kf7ZcJKp14AaABAg,@jip_bonaejuseyo,드디어 올라왔네 캬 진짜 웅장하고 너무 멋있다 이게 바로 제니지.....,3627,2025-04-16T22:22:44Z,2025-04-16T22:22:44Z
Ugw76117yMjhhYmrcDZ4AaABAg,@Aykzko,She is setting the bar high Unstoppable,37,2025-04-30T15:55:34Z,2025-04-30T15:55:34Z
UgyitGI6xo4taL1tV6d4AaABAg,@Whoissabee,Her coachella performace is one of my favourite and best becz she sang 13 songs without rest and outfit change she even danced the whole time while giving us vocals and stage presence. She is a true artist.,336,2025-04-18T11:46:33Z,2025-04-18T11:51:40Z
UgzJ14PAVkwHJRzPsf54AaABAg,@carmenclz9037,"Jennie never disappoints, her presentation was one of my favorites, her stage presence is crazy!💥 I can&#39;t wait to see her next presentation!!!",336,2025-04-16T21:53:44Z,2025-04-16T21:53:44Z
UgxrwpghjZtJFfPJsR54AaABAg,@jrrrrrrrrrrrr,"Less than 24 hours, the video is already  1,5 million view, her show is the most satisfying show from Coachella ❤",206,2025-04-17T19:05:33Z,2025-04-17T19:05:33Z
Ugw-p6NnvJFSHwjfrAN4AaABAg,@임소희-k5p,The stage energy is amazing. How can you run like that... Jenny is amazing...,6,2025-05-15T00:19:30Z,2025-05-15T00:19:30Z
UgyeJUQyQL66NN0D5x94AaABAg,@skuurrip,"Without a doubt, this is the best presentation I&#39;ve seen at Coachella. 🤯",179,2025-04-19T06:49:09Z,2025-04-19T06:49:09Z
UgyDdcGambOTT-0Y7k14AaABAg,@dulapoapp,Jennie is truly the queen of K-pop.,515,2025-04-19T17:48:51Z,2025-04-19T17:48:51Z
UgwNrFECO7pDkhFKR7p4AaABAg,@chris-w6p1q,I&#39;m not lying. I&#39;ve been watching it more than 50 times,521,2025-04-20T09:02:24Z,2025-04-20T09:02:24Z
UgyWgr-CF2ugHfwXim94AaABAg,@장은성-o1f,Jennie absolutely owned the Coachella stage. she dances and sings so well. I’m so proud of Jennie,8,2025-05-16T00:13:11Z,2025-05-16T00:13:11Z
Ugw5ebZdQeRdbCeWQ2R4AaABAg,@unovacitizen,She wasn’t even the headliner but she was still the main event!,1111,2025-04-16T22:12:13Z,2025-04-16T22:12:13Z
UgxdLNpWL14h27dtMxN4AaABAg,@ekchiefify,10분만 노래불러도 숨차죽겠는데 거기서 격렬하게 춤추면서 노래하고 대단하다.,681,2025-04-18T11:14:20Z,2025-04-18T11:14:20Z
UgxouA-R0auTlQiiu-54AaABAg,@krnkot2007,"I&#39;M OBSESSED WITH JENCHELLA PERFORMANCE, IT&#39;S INSANE",121,2025-04-17T04:34:18Z,2025-04-17T04:34:18Z
UgzlAJrEdoG_YZQW-u14AaABAg,@이하은-b9v,"I&#39;ve known that she&#39;s a person who will shine the world since Blackpink, and I&#39;m so proud that she realized it in Coachella.",26,2025-05-12T03:07:15Z,2025-05-12T03:07:15Z
Ugwo2MAUKBs38f2wz6V4AaABAg,@WeekendersOnlineShop,This group is just soooooooooo talented.<br>They deserved more recognition....,76,2025-04-23T10:30:18Z,2025-04-23T10:30:18Z
UgxVh99mfkvE4-5Jch94AaABAg,@ivykim6648,She got that aura... I&#39;m obsessed with her,67,2025-04-18T12:12:08Z,2025-04-18T12:12:08Z
UgzqxEestoQYJZgETKN4AaABAg,@강겨자,"<a href=""https://www.youtube.com/watch?v=cdeKX7cs-r0&amp;t=70"">1:10</a> 조명 장치마냥 군데군데 카메라로 제니 화면인거 너무 멋있다<br>노래가사 그대로임",179,2025-04-20T14:31:29Z,2025-04-20T14:31:29Z
UgwNmdZOCqNsKnMamsV4AaABAg,@미월-mw_9,I’m so proud of Jennie for shining so brightly at Coachella!<br>She keeps proving that she&#39;s not just a K-pop star but a global icon.,13,2025-05-15T00:06:26Z,2025-05-15T00:06:26Z
UgwWtDzJNMondg32wYB4AaABAg,@bdtechworld1,jennie is the real queen of k pop,167,2025-04-18T18:08:21Z,2025-04-18T18:08:21Z
UgwXNV0vEELfeD7a3Uh4AaABAg,@thebestsyrine4094,The most viewed video of coachella 2025 . queen jennie ATE again,259,2025-04-19T22:59:26Z,2025-04-19T22:59:26Z
UgxAk7hvbz_8aXC6JPl4AaABAg,@IshaGiri-l4l,"Jennie didn’t just perform ‘LIKE JENNIE’ at Coachella she made history. The aura, the confidence, the talent… she’s truly in a league of her own.",192,2025-04-17T04:52:29Z,2025-04-17T04:52:29Z
Ugxr37A9lVGVPxggcEl4AaABAg,@Ddsmooly,Jennie+Coachella= Purrrrrfection~,33,2025-05-19T10:27:41Z,2025-05-19T10:27:41Z
UgwfWxT8ZJlWIbZ9oE14AaABAg,@dkhl9008,한시간 동안 쉴틈없이 무대 달리고 거의 막곡인데 잘하는거봐 제니 진짜 너무 멋있어,2254,2025-04-17T04:32:30Z,2025-04-17T04:32:30Z
UgzyXOEZcMg3OhOO47p4AaABAg,@Pinkland08,She just wore 1 outfit and still managed to be  shining 🤧 she ate 💀,1151,2025-04-17T15:25:08Z,2025-04-19T18:40:32Z
UgyJ1u81GsZJfS-kKOt4AaABAg,@하-d1w,제니가 음악이랑 무대에 진심인 게 보여서 너무 멋있다,249,2025-04-17T11:18:56Z,2025-04-17T11:18:56Z
UgxsikyUoQspeR6vCBd4AaABAg,@suhyeon-z5p,You seem to be dancing so well on a global stage without getting nervous. I think it&#39;s really great.,14,2025-05-12T03:07:37Z,2025-05-12T03:07:37Z
UgysRT2JPZhbvlgxq454AaABAg,@hong-2323,도입부 인사가 진짜 쫀득 쫀득허네,579,2025-04-26T17:22:47Z,2025-04-26T17:22:47Z
UgyPKyzvYsuvptsJuqx4AaABAg,@HHJennieForever,"JENNIE Aura is insane! She radiates luxury, mystery, and command—all in one glance!",327,2025-04-16T21:42:20Z,2025-04-16T21:42:20Z
UgyF6wJG72yGU5ldqAp4AaABAg,@GeeTee-c6b,"Its amazing to me that people showed up for a live concert only to film it on their phones instead of actually enjoying it. Could&#39;ve just watched this clip and it would&#39;ve been better quality to. Live the moment people, don&#39;t film it to watch it on replay.<br><br>That aside, Jennie is a god tier performer!",288,2025-04-24T18:48:21Z,2025-04-24T18:48:54Z
Ugytnto0PH-YZvU3t1J4AaABAg,@1816이아영,She is famous for pulling off that hard choreography on the Coachella stage. I am so proud of her as a Korean,20,2025-05-12T01:00:22Z,2025-05-12T01:00:22Z
Ugw3DGsdsgFjtFEANlp4AaABAg,@pitchblack1131,"ok but jennie at coachella was so refined... like no gimmicks no chaos just pure stage presence, clean vocals, perfect styling, and a crowd that actually got the assignment. it felt expensive.",457,2025-04-16T22:06:48Z,2025-04-16T22:06:48Z
Ugxw5fw8exJ3lb5lCl54AaABAg,@현-g4g1s,제니 나중에는 비트 웅장하면서도 간단한거 해도 잘할거같다 매력이 먼저 쩔어서.. 여러 장르 다 잘할거같애 ㅠㅠ,125,2025-04-28T23:20:10Z,2025-04-28T23:20:10Z
UgzMSavA8bXD0F_Tk6t4AaABAg,@joelee4784,숨 중간중간 고르는것만봐도 실시간 몸 부서지는 거 보이는데 저걸 다 해내고 표정 유지하는게 대단하다 진짜.......너무 프로임,4181,2025-04-17T04:26:08Z,2025-04-17T04:26:08Z
UgxM3lpJBO6k8sXhWwl4AaABAg,@user-eb6dn7pr5o,Jennie is truly an artist on stage. Her charisma and confidence came together for a legendary performance!&quot;,4,2025-05-13T05:54:04Z,2025-05-13T05:54:04Z
UgxCDXjbb_ERENckmw54AaABAg,@muziyang1931,Jennie I am so proud of you. This performance is insane.,82,2025-04-17T13:42:18Z,2025-04-17T13:42:18Z
UgyHGTRGmMQIawFY_1p4AaABAg,@VanshikaNaik10,I was there and I can say she is very good at hyping the crowd and her singing and dancing was on fire.I&#39;m very proud of her .Love u Jennie,158,2025-04-18T11:09:44Z,2025-04-18T11:09:44Z
Ugz-is71h0zZt90Osdp4AaABAg,@Jennnuary,Next year  place Jennie in the headliner and on the main stage. She deserves all this.,105,2025-04-17T05:47:35Z,2025-04-17T05:47:35Z
UgxRgP1l_LuhsNYoGYR4AaABAg,@BillyMihish,"YG raised Jenni very well. Of course she has talents for music, but YG knew what she had.  Now you deserve to hear “queen.” I am so proud of you Jennie.",38,2025-05-07T15:01:35Z,2025-05-07T15:01:35Z
UgwRXkOwkXxGNHR_GWZ4AaABAg,@JUN81041,놀라운게 이게 거의 막곡이었음. 어떻게 저런 에너지를 갖고 춤을 추고 랩을 하지 … 옷도 안갈아입고 계속 달려 왔다. 이번 주 더 기대된다.,2141,2025-04-17T15:39:08Z,2025-04-17T15:39:08Z
Ugx-dHnAz2aRtln_kPh4AaABAg,@real_vcyy,"JENNIE has made Coachella the stage for her solo milestones. She performed her debut track SOLO at Coachella in 2019, followed by the mesmerizing You &amp; Me in 2023. Now, in 2025, she’s back, showcasing her first studio album RUBY and the hit LIKE JENNIE. It’s incredible how every major solo release of hers aligns with this iconic festival.",45,2025-04-20T07:21:24Z,2025-04-20T07:21:24Z
Ugzqhp8DeXO6CE2l7Ol4AaABAg,@Roz.120,"<a href=""https://www.youtube.com/watch?v=cdeKX7cs-r0&amp;t=115"">1:55</a> I have never seen such a perfect performance in my life. She is creative. Her fame is not to be underestimated. global icon And high charisma",66,2025-04-17T11:49:33Z,2025-04-17T11:49:33Z
Ugw74QOJW6ffzTjWViR4AaABAg,@이도연-u9p,JENNIE IS A LEGEND. Her performance overwhelms everyone.,5,2025-05-12T01:17:53Z,2025-05-16T05:10:56Z
Ugx8gdv6zey6RdTwHnZ4AaABAg,@gomdeuk,코첼라 후반부 갈수록 빛나던 제니💗 2주차에 더 빛날거 같아서 넘 기대됨,232,2025-04-17T11:43:02Z,2025-04-17T11:43:02Z
Ugx0tM9nthcfxiPw44J4AaABAg,@olivialiu3802,Jennie and Lady gaga’s performances were absolutely mind blowing.,115,2025-04-20T12:10:48Z,2025-04-20T12:10:48Z
Ugwi6gUK67XCu96vIOd4AaABAg,@rora583,"I thought this performance was phenomenal and as good as it gets then I watched her second week coachella performance and she somehow managed to out do herself, truly incredible I hope we get clearer fancams.",59,2025-04-23T18:31:26Z,2025-04-23T18:31:26Z
UgzA5kgOjc8Qh3kIead4AaABAg,@1702-i4k,"This stage is proving that she is a top soloist, so we know her stage is amazing!",7,2025-05-15T02:05:02Z,2025-05-15T02:05:02Z
Ugx9R3quTLJbzTcQGPB4AaABAg,@Ayrene01,The crowd looks having fun on her set. She really knows how to break that fourth wall between the audience and not everyone can do that,163,2025-04-17T14:23:50Z,2025-04-17T14:23:50Z
Ugy1rjag0SKdFjQwG-B4AaABAg,@ionut9277,Jennie really just got the most viewed performance on Coachella&#39;s channel in under 8 days. Haters stay mad,181,2025-04-26T12:32:37Z,2025-04-26T12:32:37Z
UgzY-CYthAp107TKJJ54AaABAg,@juaubert_,"I&#39;ve watched Jennie&#39;s Coachella performance way too many times. Her visuals, charisma, and stage presence are just unreal",41,2025-04-27T14:27:47Z,2025-04-27T14:27:47Z
UgwbGol-ai560iSJLV94AaABAg,@Belectraaaa,Infinite AURA it’s screaming🔥🔥,50,2025-04-30T09:42:19Z,2025-04-30T09:42:19Z
Ugz93k2O9ilGyENTIm14AaABAg,@Concerttrails,"Coachella, please post all 13 songs, I&#39;m begging youuuu. 😭",877,2025-04-17T18:38:26Z,2025-04-17T18:38:26Z
